company_name,address,phone,email,website,site_id,run_date,run_timestamp_utc,search_seed,search_query,selected_place_label,listing_id,listing_url,raw_listing_token,dedupe_key,dedupe_key_normalised
Enabling Accountants,"PO Box 6299, NORTH SYDNEY NSW 2059, AUS",,yangcaddy@gmail.com,http://www.enablingaccountants.com.au,cpa_au,2026-04-08,2026-04-08T04:51:22.492496+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"Enabling Accountants
PO Box 6299, NORTH SYDNEY NSW 2059, AUS
0.16 km","enabling accountants|po box 6299, north sydney nsw 2059, aus","enabling accountants|po box 6299, north sydney nsw 2059, aus"
nChant kOunting,"U 48 237 Miller St, NORTH SYDNEY NSW 2060, AUS",++61406727061,nchantkounting@accsource.com.au,https://www.accsource.com.au/,cpa_au,2026-04-08,2026-04-08T04:51:29.973049+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"nChant kOunting
U 48 237 Miller St, NORTH SYDNEY NSW 2060, AUS
0.18 km","nchant kounting|u 48 237 miller st, north sydney nsw 2060, aus","nchant kounting|u 48 237 miller st, north sydney nsw 2060, aus"
Everglow Accounting,"L 25 100 Mount St, NORTH SYDNEY 2060, AUS",++61272297770,contact@everglow.au,https://everglow.au,cpa_au,2026-04-08,2026-04-08T04:51:43.066264+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"Everglow Accounting
L 25 100 Mount St, NORTH SYDNEY 2060, AUS
0.24 km","everglow accounting|l 25 100 mount st, north sydney 2060, aus","everglow accounting|l 25 100 mount st, north sydney 2060, aus"
Elevation Accounting and Advisory Pty Ltd,"PO Box 744, MILSONS POINT NSW 1565, AUS",++61294098000,david@elevationadvisory.com.au,http://www.elevationadvisory.com.au,cpa_au,2026-04-08,2026-04-08T04:51:51.160136+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"Elevation Accounting and Advisory Pty Ltd
PO Box 744, MILSONS POINT NSW 1565, AUS
1.10 km","elevation accounting and advisory pty ltd|po box 744, milsons point nsw 1565, aus","elevation accounting and advisory pty ltd|po box 744, milsons point nsw 1565, aus"
FMA Wealth Management,"PO Box 426, MILSONS POINT NSW 1565, AUS",++61290557970,frank@fmawealth.com.au,http://www.fmawealth.com.au,cpa_au,2026-04-08,2026-04-08T04:52:04.128980+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"FMA Wealth Management
PO Box 426, MILSONS POINT NSW 1565, AUS
1.10 km","fma wealth management|po box 426, milsons point nsw 1565, aus","fma wealth management|po box 426, milsons point nsw 1565, aus"
ALEXANDER BRUCE WHITEHEAD,"L 1 310 Pacific Hwy, CROWS NEST NSW 2065, AUS",++61299664499,alex@alexwhitehead.com.au,,cpa_au,2026-04-08,2026-04-08T04:52:16.971731+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"ALEXANDER BRUCE WHITEHEAD
L 1 310 Pacific Hwy, CROWS NEST NSW 2065, AUS
1.20 km","alexander bruce whitehead|l 1 310 pacific hwy, crows nest nsw 2065, aus","alexander bruce whitehead|l 1 310 pacific hwy, crows nest nsw 2065, aus"
VH Accounting & Taxation,"4 Young St, NEUTRAL BAY NSW 2089, AUS",++61272292253,info@vhtax.com.au,https://vhtax.com.au/,cpa_au,2026-04-08,2026-04-08T04:52:22.139333+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"VH Accounting & Taxation
4 Young St, NEUTRAL BAY NSW 2089, AUS
1.66 km","vh accounting & taxation|4 young st, neutral bay nsw 2089, aus","vh accounting & taxation|4 young st, neutral bay nsw 2089, aus"
SMR Accounting & Tax Services Pty Ltd,"U 8 17 Waruda St, KIRRIBILLI NSW 2061, AUS",++61403859118,sally.shi@smrtax.com.au,,cpa_au,2026-04-08,2026-04-08T04:52:35.287864+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"SMR Accounting & Tax Services Pty Ltd
U 8 17 Waruda St, KIRRIBILLI NSW 2061, AUS
1.76 km","smr accounting & tax services pty ltd|u 8 17 waruda st, kirribilli nsw 2061, aus","smr accounting & tax services pty ltd|u 8 17 waruda st, kirribilli nsw 2061, aus"
LCL Accounting Pty Ltd,"U 1 12 Harrison St, CREMORNE NSW 2090, AUS",++61433201650,liang@lclaccounting.com.au,http://www.lclaccounting.com.au,cpa_au,2026-04-08,2026-04-08T04:52:44.166177+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"LCL Accounting Pty Ltd
U 1 12 Harrison St, CREMORNE NSW 2090, AUS
1.84 km","lcl accounting pty ltd|u 1 12 harrison st, cremorne nsw 2090, aus","lcl accounting pty ltd|u 1 12 harrison st, cremorne nsw 2090, aus"
Jag Ludher and Co.,"Suite 203 Level 2, 60 York Street, SYDNEY NSW 2000, AUS",++61292629668,jag@jagludher.com.au,http://www.jagludher.com,cpa_au,2026-04-08,2026-04-08T04:52:52.659227+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"Jag Ludher and Co.
Suite 203 Level 2, 60 York Street, SYDNEY NSW 2000, AUS
1.87 km","jag ludher and co.|suite 203 level 2, 60 york street, sydney nsw 2000, aus","jag ludher and co.|suite 203 level 2, 60 york street, sydney nsw 2000, aus"
Rob Kerr & Co,"U 8 28 Rangers Rd, CREMORNE NSW 2090, AUS",++61299082935,robkerr@bigpond.com,,cpa_au,2026-04-08,2026-04-08T04:53:02.719659+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"Rob Kerr & Co
U 8 28 Rangers Rd, CREMORNE NSW 2090, AUS
2.10 km","rob kerr & co|u 8 28 rangers rd, cremorne nsw 2090, aus","rob kerr & co|u 8 28 rangers rd, cremorne nsw 2090, aus"
Magoulias & Associates,"LEVEL 2, 91 George St, THE ROCKS NSW 2000, AUS",++61292525518,accountant@magoulias.com.au,,cpa_au,2026-04-08,2026-04-08T04:53:09.427244+00:00,"North Sydney,NSW,2060","North Sydney NSW, Australia","North Sydney NSW 2060, Australia",,,"Magoulias & Associates
LEVEL 2, 91 George St, THE ROCKS NSW 2000, AUS
2.21 km","magoulias & associates|level 2, 91 george st, the rocks nsw 2000, aus","magoulias & associates|level 2, 91 george st, the rocks nsw 2000, aus"
